Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,339.0,8.0,24.0,1392.0,0.0,10.104999999999995,0.0,0.0,289.8412752151489,,,,,,,,,,,,,,,,,,,,,3.008674719100917,3.458638647331613,10.052887528911874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,371.0,9.0,32.0,1424.0,0.0,15.305999999999994,0.0,0.0,293.04684495925903,,,,,,,,,,,,,,,,,,,,,4.603630763463971,5.195907195493468,15.189046719962358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,429.0,10.0,58.0,1482.0,0.0,36.107,0.0,0.0,298.7547781467438,,,,,,,,,,,,,,,,,,,,,12.325174819977082,12.02858903872986,35.46303045832752,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,490.0,11.0,61.0,1543.0,0.0,28.00900000000004,0.0,0.0,304.5860507488251,,,,,,,,,,,,,,,,,,,,,7.698984418058392,8.881966997415875,27.594523402780595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,524.0,12.0,34.0,1577.0,0.0,17.706000000000017,0.0,0.0,307.9269177913666,,,,,,,,,,,,,,,,,,,,,5.615615411537877,6.025849512103687,17.550151829514917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,551.0,13.0,27.0,1604.0,0.0,11.205999999999994,0.0,0.0,310.6822681427002,,,,,,,,,,,,,,,,,,,,,3.1981724310112503,3.790461873543953,11.141922046533718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,586.0,14.0,35.0,1639.0,0.0,16.305000000000007,0.0,0.0,314.2675635814667,,,,,,,,,,,,,,,,,,,,,5.1028967857580945,5.316451590051572,16.158699853505627,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,665.0,15.0,79.0,1718.0,0.0,56.50899999999999,0.0,0.0,322.1269462108612,,,,,,,,,,,,,,,,,,,,,21.058176091493344,18.559745111376355,54.95525965281802,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,777.0,16.0,112.0,1830.0,0.0,55.405000000000015,0.0,0.0,332.83278703689575,,,,,,,,,,,,,,,,,,,,,26.367382621932816,15.961519548212388,52.556914418265656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,845.0,17.0,68.0,1898.0,0.0,31.20700000000004,0.0,0.0,339.49429512023926,,,,,,,,,,,,,,,,,,,,,10.914436085771204,8.636250603571597,30.525839499326718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,865.0,18.0,20.0,1918.0,0.0,6.506,0.0,0.0,341.5773389339447,,,,,,,,,,,,,,,,,,,,,1.7500428599593725,2.229364635613576,6.4839605800002325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1013.0,19.0,148.0,2066.0,0.0,77.105,0.0,0.0,355.924747467041,,,,,,,,,,,,,,,,,,,,,31.637146569033863,21.38630925448599,72.56776527055885,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1093.0,20.0,80.0,2146.0,0.0,53.909,0.0,0.0,363.8622751235962,,,,,,,,,,,,,,,,,,,,,19.070415180637863,17.763999279659537,52.48829087901615,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,73.0,1.0,73.0,2219.0,0.0,44.907,0.0,0.0,595.5623621940613,,,,,,,,,,,,,,,,,,,,,16.434196237333886,13.970218474444287,43.79484957898302,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,222.0,2.0,149.0,2368.0,0.0,99.30699999999999,0.0,0.0,609.863935470581,,,,,,,,,,,,,,,,,,,,,39.293545390641604,27.770915230467892,93.63944699133008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,303.0,3.0,81.0,2449.0,0.0,51.705999999999996,0.0,0.0,617.8604755401611,,,,,,,,,,,,,,,,,,,,,20.20234450413489,15.465551106811569,50.16989972471478,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,398.0,4.0,95.0,2544.0,0.0,54.60600000000001,0.0,0.0,626.8957030773163,,,,,,,,,,,,,,,,,,,,,22.11125957404312,15.483187028435356,52.610598927722435,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,536.0,5.0,138.0,2682.0,0.0,80.906,0.0,0.0,640.1982719898224,,,,,,,,,,,,,,,,,,,,,40.38395032092069,24.31501352590929,75.48390718617812,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,634.0,6.0,98.0,2780.0,0.0,39.00700000000005,0.0,0.0,649.5648849010468,,,,,,,,,,,,,,,,,,,,,10.899282823935406,11.645291689435629,38.01486199237708,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,667.0,7.0,33.0,2813.0,0.0,13.708999999999993,0.0,0.0,652.8513112068176,,,,,,,,,,,,,,,,,,,,,3.7210205118598023,4.571671796252819,13.613419548786654,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,763.0,8.0,96.0,2909.0,0.0,45.80700000000004,0.0,0.0,662.0511326789856,,,,,,,,,,,,,,,,,,,,,15.978647312595065,12.253061845168894,44.361728954170275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,912.0,9.0,149.0,3058.0,0.0,95.60699999999983,0.0,0.0,676.2807416915894,,,,,,,,,,,,,,,,,,,,,33.7256955813834,29.712018077877193,90.7633072094856,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1067.0,10.0,155.0,3213.0,0.0,85.20700000000002,0.0,0.0,691.2108671665192,,,,,,,,,,,,,,,,,,,,,42.06608070074907,24.6044028167321,78.8443673817801,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1136.0,11.0,69.0,3282.0,0.0,52.105999999999995,0.0,0.0,698.1364986896515,,,,,,,,,,,,,,,,,,,,,21.300691179859314,16.89254204304899,50.73767692476232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1160.0,12.0,24.0,3306.0,0.0,10.505999999999995,0.0,0.0,700.6110253334045,,,,,,,,,,,,,,,,,,,,,3.117752860294187,3.6563561628875583,10.452067614514354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1195.0,13.0,35.0,3341.0,0.0,19.107000000000017,0.0,0.0,704.1966304779053,,,,,,,,,,,,,,,,,,,,,6.172747613572071,6.565411612157918,18.92879248971192,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1501.0,14.0,306.0,3647.0,0.0,174.30899999999977,0.0,0.0,733.197380065918,,,,,,,,,,,,,,,,,,,,,71.11756167861319,42.63577312960376,152.85257843062732,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1608.0,15.0,107.0,3754.0,0.0,81.80899999999997,0.0,0.0,743.2064464092255,,,,,,,,,,,,,,,,,,,,,31.712766739442493,26.20389264603052,78.57280098805482,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1637.0,16.0,29.0,3783.0,0.0,14.604999999999995,0.0,0.0,746.2972440719604,,,,,,,,,,,,,,,,,,,,,4.6819247237134825,4.996138318481397,14.498206097000216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1708.0,17.0,71.0,3854.0,0.0,42.10600000000001,0.0,0.0,753.1485905647278,,,,,,,,,,,,,,,,,,,,,15.21300599836946,12.780332443313144,41.10805156920259,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1730.0,18.0,22.0,3876.0,0.0,7.106,0.0,0.0,755.5075931549072,,,,,,,,,,,,,,,,,,,,,1.9123769155658252,2.3816519445391533,7.078076783347463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1775.0,19.0,45.0,3921.0,0.0,27.205000000000016,0.0,0.0,760.0543637275696,,,,,,,,,,,,,,,,,,,,,9.506629870341152,9.0222493036451,26.830836497994135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,2019.0,20.0,244.0,4165.0,0.0,152.50599999999997,0.0,0.0,783.2436451911926,,,,,,,,,,,,,,,,,,,,,65.9737399081026,36.696051993878726,136.68163404888682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,188.0,1.0,188.0,4353.0,0.0,136.30599999999998,0.0,0.0,1157.0246760845184,,,,,,,,,,,,,,,,,,,,,58.32324324426809,37.87865452302467,125.59228925630099,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,277.0,2.0,89.0,4442.0,0.0,59.50999999999999,0.0,0.0,1165.739382982254,,,,,,,,,,,,,,,,,,,,,21.863817725299413,18.764243435697605,57.679421385798555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,320.0,3.0,43.0,4485.0,0.0,25.30700000000002,0.0,0.0,1170.1761796474457,,,,,,,,,,,,,,,,,,,,,8.442913979182764,8.612063879367138,24.993917540057716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,382.0,4.0,62.0,4547.0,0.0,33.406000000000006,0.0,0.0,1176.0864017009735,,,,,,,,,,,,,,,,,,,,,12.66342116112792,9.85904713089813,32.68620761703654,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,500.0,5.0,118.0,4665.0,0.0,66.50800000000001,0.0,0.0,1187.6209988594055,,,,,,,,,,,,,,,,,,,,,25.335134512648178,18.220296664252754,63.64568184551673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,558.0,6.0,58.0,4723.0,0.0,35.306000000000004,0.0,0.0,1193.2721655368805,,,,,,,,,,,,,,,,,,,,,11.869528432522047,11.720940513142132,34.68690647696117,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,600.0,7.0,42.0,4765.0,0.0,29.005000000000013,0.0,0.0,1197.5187802314758,,,,,,,,,,,,,,,,,,,,,11.07299851840416,9.821917149560985,28.59709966445628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,761.0,8.0,161.0,4926.0,0.0,118.20499999999993,0.0,0.0,1212.751705646515,,,,,,,,,,,,,,,,,,,,,46.746570402143675,34.321951490078,110.90049224926118,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,838.0,9.0,77.0,5003.0,0.0,50.608,0.0,0.0,1220.3124063014984,,,,,,,,,,,,,,,,,,,,,19.251134484180152,16.437271824744183,49.22406154374407,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,895.0,10.0,57.0,5060.0,0.0,39.806,0.0,0.0,1226.0386068820953,,,,,,,,,,,,,,,,,,,,,14.915967314325638,13.271562293520967,39.03381846619737,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,950.0,11.0,55.0,5115.0,0.0,32.607,0.0,0.0,1231.4736835956573,,,,,,,,,,,,,,,,,,,,,10.803149063682174,10.834890815349631,32.07694862179245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,984.0,12.0,34.0,5149.0,0.0,17.606000000000016,0.0,0.0,1234.90886926651,,,,,,,,,,,,,,,,,,,,,5.6526885369938995,5.937324712418821,17.448688518089877,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1018.0,13.0,34.0,5183.0,0.0,15.905999999999993,0.0,0.0,1238.3457427024841,,,,,,,,,,,,,,,,,,,,,4.714339176190741,5.328381533998996,15.777251193144611,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1047.0,14.0,29.0,5212.0,0.0,13.205999999999994,0.0,0.0,1241.3045933246613,,,,,,,,,,,,,,,,,,,,,3.9163736440236137,4.4967554650345285,13.1186493443627,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1151.0,15.0,104.0,5316.0,0.0,55.60600000000001,0.0,0.0,1251.5563209056854,,,,,,,,,,,,,,,,,,,,,20.693006364003324,16.879488848586103,53.56099576868525,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1223.0,16.0,72.0,5388.0,0.0,48.105999999999995,0.0,0.0,1258.6126029491425,,,,,,,,,,,,,,,,,,,,,18.629104302480187,14.819802238010482,46.85837438060823,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1291.0,17.0,68.0,5456.0,0.0,38.10400000000001,0.0,0.0,1265.3528847694397,,,,,,,,,,,,,,,,,,,,,13.986967217461405,11.06374896736267,37.22730360912725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1321.0,18.0,30.0,5486.0,0.0,8.706999999999992,0.0,0.0,1268.35165476799,,,,,,,,,,,,,,,,,,,,,2.112664108276341,2.701270662554845,8.660933282383194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1366.0,19.0,45.0,5531.0,0.0,30.505000000000013,0.0,0.0,1272.82102227211,,,,,,,,,,,,,,,,,,,,,11.915343642505766,10.018172984380332,30.028837181613284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1598.0,20.0,232.0,5763.0,0.0,184.90699999999998,0.0,0.0,1295.044646024704,,,,,,,,,,,,,,,,,,,,,76.1228155288158,53.65624409096321,167.5815022202532,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,284.0,1.0,284.0,6047.0,0.0,179.80600000000004,0.0,0.0,1759.1348283290863,,,,,,,,,,,,,,,,,,,,,89.48912444939437,49.68210307101386,154.70033462528812,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,567.0,2.0,283.0,6330.0,0.0,180.21399999999986,0.0,0.0,1786.252184867859,,,,,,,,,,,,,,,,,,,,,73.32751163231589,48.41436707800859,159.78171786206113,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
